[2024-09-10 22:46:31,093:INFO: main: Welcome to our custom log]
[2024-09-13 18:36:57,869:INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-13 18:36:57,873:INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-13 18:36:57,874:INFO: common: created directory at: artifacts]
[2024-09-13 18:36:57,875:INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-13 18:37:37,123:INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-13 18:37:37,124:INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-13 18:37:37,125:INFO: common: created directory at: artifacts]
[2024-09-13 18:37:37,125:INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-13 18:37:43,495:INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-13 18:37:43,497:INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-13 18:37:43,497:INFO: common: created directory at: artifacts]
[2024-09-13 18:37:43,497:INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-13 18:40:38,466:INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-13 18:40:38,468:INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-13 18:40:38,468:INFO: common: created directory at: artifacts]
[2024-09-13 18:40:38,469:INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-13 18:40:38,469:INFO: 2485677886: Downloading data from https://drive.google.com/file/d/1YKuwii_lywWI_03kOtWC8HF7xy1w2-93/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-09-13 18:41:57,923:INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-13 18:41:57,925:INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-13 18:41:57,925:INFO: common: created directory at: artifacts]
[2024-09-13 18:41:57,926:INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-13 18:41:57,927:INFO: 606855465: Downloading data from https://drive.google.com/file/d/1YKuwii_lywWI_03kOtWC8HF7xy1w2-93/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-09-13 18:42:09,812:INFO: 606855465: Downloaded data from https://drive.google.com/file/d/1YKuwii_lywWI_03kOtWC8HF7xy1w2-93/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-09-13 19:08:14,150:INFO: main: >>>>>>> stage Data Ingestion stage started <<<<<<<]
[2024-09-13 19:08:14,151:INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-09-13 19:08:14,151:INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-13 19:08:14,152:INFO: common: created directory at: artifacts]
[2024-09-13 19:08:14,152:INFO: common: created directory at: artifacts/data_ingestion]
[2024-09-13 19:08:14,152:INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1YKuwii_lywWI_03kOtWC8HF7xy1w2-93/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-09-13 19:08:26,654:INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1YKuwii_lywWI_03kOtWC8HF7xy1w2-93/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-09-13 19:08:27,043:INFO: main: >>>>>>> stage Data Ingestion stage completed <<<<<<<

x==========x]
